fid,color_2,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,geodata_eg,pop_dens,pop_chng,hh_chng,avehhsize,created_us,created_da,last_edite,last_edi_1,shape_star,shape_stle,SHAPE__Length,SHAPE__Area
149,3,Mid-Town Belvedere,3830,2298,1001,17,329,0,39,146,178,1957,1873,66,45,9,15,655,1468,520,761,291,365,261,37,42,9,62,21,3005,2550,413,2137,455,263,31,161,0.2209043,17337.82394,636,325,1.44471001, ,, ,,6158434.027,10698.23519,4218.140906,956864.189
150,5,Middle Branch/Reedbird Parks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36427893,0,0,0,0, ,, ,,10155473.2,30219.72381,11902.42874,1575430.005
151,1,Middle East,1484,54,1408,2,6,0,8,6,26,667,817,117,152,41,63,158,174,146,376,257,313,86,23,43,15,184,100,913,628,155,473,285,32,7,246,0.19801392,7494.422297,-2069,-518,2.33438992, ,, ,,5520289.419,9473.716669,3733.613524,857652.2659
152,2,Midtown Edmondson,1663,19,1623,1,1,0,5,14,7,807,856,102,174,56,88,206,199,179,474,185,382,99,26,50,12,233,94,1112,544,211,333,568,28,10,530,0.14956529,11118.88986,-665,-255,3.0569899, ,, ,,4169624.336,11871.38138,4680.296527,647711.9171
153,2,Mill Hill,1787,711,917,8,36,1,54,60,93,846,941,149,202,76,92,191,227,200,466,184,374,159,66,40,13,175,103,843,672,224,448,171,36,10,125,0.20979569,8517.810618,-63,-34,2.65922999, ,, ,,5848744.911,11528.40222,4543.963812,908114.2528
154,5,Milton-Montford,1391,21,1305,9,10,0,23,23,39,623,768,153,162,58,61,200,188,154,327,88,315,67,33,56,17,192,92,744,416,139,277,328,39,6,283,0.056786,24495.47215,-156,-63,3.34375, ,, ,,1583096.625,5033.457196,1984.161437,245949.1514
155,2,Mondawmin,3512,41,3374,13,13,2,14,55,51,1488,2024,180,256,115,136,902,370,314,786,453,643,178,51,92,27,373,160,1522,1145,478,667,377,79,11,287,0.38277174,9175.180815,-44,-170,2.5301299, ,, ,,10671021.22,13837.75202,5453.904273,1658451.032
156,1,Montebello,117,19,84,0,1,0,8,5,8,53,64,24,19,8,4,5,23,11,19,4,7,5,3,1,1,1,0,22,16,11,5,6,3,0,3,0.4641626,252.0668357,-361,-2,2.625, ,, ,,12940059.11,15669.33639,6180.033525,2012287.512
157,5,Moravia-Walther,999,375,582,3,5,0,3,31,21,473,526,63,79,33,38,88,113,177,312,96,256,159,66,16,9,81,37,432,409,338,71,23,8,9,6,0.13101388,7625.146149,-79,-5,2.42543005, ,, ,,3652442.806,8864.345977,3496.908889,568075.1307
158,3,Morgan Park,256,3,243,0,0,0,0,10,1,113,143,11,15,7,8,17,23,27,76,72,69,45,6,3,1,21,5,121,114,100,14,7,2,0,5,0.07261075,3525.648409,0,0,2.24560999, ,, ,,2024263.631,5822.753812,2296.971004,314903.3321
159,2,Morgan State University,1790,48,1698,2,14,1,0,27,5,769,1021,4,4,1,26,1686,41,9,15,4,9,2,0,2,1,5,3,37,25,5,20,12,9,2,1,0.26376592,6786.320027,1790,25,2.27999997, ,, ,,7353342.635,20842.81342,8221.140843,1143872.221
160,5,Morrell Park,4204,3208,586,26,132,9,114,129,217,2058,2146,277,349,162,124,393,685,543,1153,518,977,561,195,104,45,312,141,1832,1688,1127,561,144,27,30,87,0.83863166,5012.927822,49,0,2.49052, ,, ,,23379615.47,19042.16406,7499.499913,3628506.248
161,3,Mosher,1589,15,1542,7,4,0,0,21,17,701,888,124,156,68,80,199,170,171,410,211,387,87,30,61,22,239,100,786,548,233,315,238,68,12,158,0.11526371,13785.77841,-420,-120,2.86679005, ,, ,,3213355.03,7162.685692,2824.028169,499179.6016
162,2,New Southwest/Mount Clare,2313,764,1190,27,67,0,165,100,267,1143,1170,224,260,109,112,260,361,305,528,154,456,148,76,97,33,211,123,1141,751,257,494,390,46,49,295,0.11823957,19561.97903,-80,-71,2.94007992, ,, ,,3296316.859,8639.524136,3403.607041,511863.2244
163,4,Mount Holly,1279,21,1238,0,2,0,5,13,14,656,623,71,98,49,71,113,142,178,415,142,283,93,28,47,16,143,70,705,495,195,300,210,85,9,116,0.12392056,10321.12828,-381,-122,2.48283004, ,, ,,3454693.132,9461.438366,3727.851019,536893.2288
164,5,Mount Vernon,4818,2842,1257,12,458,3,67,179,229,2379,2439,71,38,14,24,1053,1740,521,670,687,424,291,46,35,14,98,38,3860,3352,241,3111,508,298,7,203,0.22666112,21256.40208,299,322,1.36545002, ,, ,,6318924.218,11595.6359,4570.638091,981628.7677
165,4,Mount Washington,3878,2804,822,11,81,3,37,120,107,1760,2118,221,312,144,132,155,443,580,1253,638,1001,802,330,45,22,154,85,1721,1649,1298,351,72,17,27,28,1.24104049,3124.79732,-2,-15,2.30079007, ,, ,,34598084.83,26939.65403,10622.88694,5384579.551
166,4,Mount Winans,748,21,709,3,3,0,0,12,15,323,425,59,85,26,36,74,85,86,207,90,192,55,15,17,6,120,55,372,286,179,107,86,9,2,75,0.07656696,9769.226466,-282,-57,2.61538004, ,, ,,2134555.879,6320.890157,2489.36659,331262.2273
167,3,Mt Pleasant Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25298873,0,0,0,0, ,, ,,7052893.062,14642.98971,5780.208613,1097756.25
168,4,New Northwood,4972,134,4677,7,30,1,46,77,102,2272,2700,286,313,154,231,1013,611,529,1148,687,1174,467,123,107,41,600,264,2092,1940,959,981,152,73,24,55,0.32088432,15494.68005,-2028,-69,2.39123988, ,, ,,8945705.875,15961.07864,6300.838729,1391684.57
169,2,North Harford Road,5380,3437,1672,13,50,2,99,107,251,2583,2797,356,429,160,171,442,808,842,1487,685,1352,875,353,138,50,339,153,2421,2221,1780,441,200,63,51,86,0.63995986,8406.777164,102,-34,2.42188, ,, ,,17840985.8,19737.96746,7783.306258,2776876.918
170,3,North Roland Park/Poplar Hill,1450,992,169,1,262,0,1,25,19,708,742,70,100,57,58,106,170,196,440,253,364,310,123,10,5,44,29,663,620,361,259,43,13,10,20,0.61312719,2364.925267,196,33,2.33871006, ,, ,,17092936.88,19427.92944,7661.258952,2660495.477
171,3,Northwest Community Action,1896,18,1823,5,0,0,3,47,25,846,1050,129,199,92,86,226,196,233,508,227,415,110,39,52,13,253,116,782,616,326,290,166,39,11,116,0.11595587,16351.04755,-184,-85,2.99025988, ,, ,,3232651.291,8579.806382,3380.961919,502305.8912
172,5,ODonnell Heights,763,80,653,1,0,0,6,23,37,273,490,115,134,45,47,85,111,65,123,38,206,13,6,8,2,185,130,289,275,6,269,14,2,3,9,0.15790099,4832.141901,-1311,-416,2.77454996, ,, ,,4402009.409,9880.783222,3893.132812,683468.1921
173,1,Oakenshawe,1144,823,130,2,134,1,18,36,50,604,540,49,53,18,15,280,218,169,249,93,180,132,55,16,7,32,14,575,505,262,243,70,30,17,23,0.06250668,18302.04204,65,6,2.2653501, ,, ,,1742579.432,5903.247271,2326.996193,270952.505
174,5,Oaklee,754,445,241,4,27,1,12,24,41,364,390,41,60,14,9,101,185,98,182,64,163,79,28,29,13,55,21,405,384,107,277,21,15,2,4,0.04074534,18505.17942,1,-22,1.96353995, ,, ,,1135910.603,5684.490406,2238.332718,176314.6392
175,2,Oldtown,2658,35,2535,2,38,1,3,44,11,1068,1590,286,367,110,129,232,405,243,636,250,632,102,31,49,21,481,335,1231,1177,168,1009,54,28,9,17,0.16738106,15879.93288,-883,-401,2.24809002, ,, ,,4666297.481,9578.219251,3774.863057,724904.4315
176,4,Oliver,4153,55,4016,6,11,1,8,56,39,1896,2257,302,342,172,228,460,455,460,1210,524,932,189,62,132,39,611,281,2514,1591,594,997,923,111,39,773,0.26293101,15795.01726,-1320,-359,2.60778999, ,, ,,7330066.827,10859.87526,4281.377892,1139032.871
177,1,Orangeville,202,145,25,2,1,1,17,11,23,99,103,15,11,8,4,24,27,29,55,29,44,30,11,6,1,8,4,101,85,62,23,16,2,7,7,0.36951726,546.6591669,-80,1,2.35294008, ,, ,,10301508.9,15682.10665,6178.712726,1600497.363
178,3,Orangeville Industrial Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44537248,0,0,0,0, ,, ,,12416222.66,16424.41068,6477.09941,1929294.213
179,3,Original Northwood,1241,465,684,7,14,1,25,45,55,645,596,72,76,29,33,84,186,148,400,213,280,181,70,22,6,77,31,545,518,376,142,27,6,8,13,0.17242944,7197.146651,1,17,2.18146991, ,, ,,4807037.801,10610.45307,4188.3191,747642.0483
180,2,Otterbein,1823,1406,282,8,78,4,19,26,50,826,997,68,44,10,14,112,323,179,461,612,336,279,61,13,5,44,19,1275,1162,439,723,113,61,10,42,0.10251737,17782.35126,-402,-59,1.56885004, ,, ,,2858008.998,7204.220765,2838.980342,443786.3578
181,4,Overlea,774,506,235,3,6,0,13,11,21,381,393,43,59,25,33,43,104,113,251,103,174,101,41,21,3,52,31,324,297,236,61,27,6,7,14,0.30430461,2543.503955,63,14,2.52862, ,, ,,8483491.933,13968.52244,5513.071913,1320263.727
182,4,Panway/Braddish Avenue,1221,10,1197,1,0,2,0,11,4,508,713,62,90,63,60,123,129,151,359,184,313,102,31,26,10,185,77,574,507,343,164,67,22,8,37,0.08114838,15046.50968,-21,-33,2.40827989, ,, ,,2262278.161,6872.04385,2709.167448,351587.46
183,5,Park Circle,3153,65,3006,10,9,1,21,41,44,1463,1690,213,264,125,157,293,341,321,976,463,652,195,69,80,19,377,149,1560,1270,426,844,290,80,35,175,0.31055601,10152.75793,-680,-174,2.44566988, ,, ,,8657770.059,14082.49006,5556.215097,1346131.301
184,1,Parklane,2049,46,1967,9,7,0,4,16,20,905,1144,176,197,77,92,231,289,215,523,249,509,151,54,64,23,294,154,814,719,324,395,95,36,6,53,0.12385896,16543.00877,-80,-37,2.7246201, ,, ,,3452976.051,8236.856013,3246.811409,537087.0691
185,5,Parkside,2683,281,2231,10,88,0,14,59,28,1261,1422,178,240,101,110,329,408,369,777,171,694,278,114,74,26,342,165,1190,1113,575,538,77,40,12,25,0.11749987,22834.06694,134,40,2.41059994, ,, ,,3275695.397,8597.024639,3389.473951,509232.1576
186,5,Parkview/Woodbrook,1981,35,1889,3,3,0,9,42,25,924,1057,156,157,89,105,220,227,242,602,183,407,114,37,58,26,235,109,1105,755,292,463,350,75,8,267,0.0985475,20101.98052,-353,-144,2.61059999, ,, ,,2747335.738,7362.813241,2902.843574,427018.9345
187,5,Patterson Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22589095,0,0,0,0, ,, ,,6297453.075,10773.74096,4244.180414,978048.701
188,4,Patterson Place,1165,558,413,14,32,1,114,33,270,602,563,78,92,31,35,130,336,200,205,58,223,104,46,32,15,87,44,573,432,211,221,141,55,38,48,0.03800757,30651.78706,-61,-8,2.68518996, ,, ,,1059586.053,4249.999228,1675.835776,164585.138
189,1,Pen Lucy,3078,152,2838,16,4,3,20,45,43,1383,1695,245,265,117,140,331,455,384,826,315,680,211,75,86,38,383,201,1483,1250,438,812,233,160,24,49,0.17157715,17939.45081,-184,-62,2.43440008, ,, ,,4783277.53,9278.92305,3659.086745,743944.9942
190,1,Penn North,1846,19,1780,3,5,0,4,35,10,849,997,153,154,82,95,201,228,243,467,223,392,109,51,54,15,229,95,1074,686,244,442,388,75,6,307,0.13520164,13653.68004,-496,-164,2.69095993, ,, ,,3769190.46,8974.817992,3537.709108,585768.957
191,3,Penn-Fallsway,6423,967,5374,5,9,3,52,13,147,5866,557,9,25,7,107,1524,1916,1434,1352,49,0,0,0,0,0,0,0,5,1,0,1,4,4,0,0,0.13446333,47767.66943,0,0,1, ,, ,,3748607.564,8958.024827,3532.653934,582331.5973
192,5,Penrose/Fayette Street Outreach,3266,41,3167,11,2,0,4,41,22,1554,1712,203,278,131,151,364,346,341,926,526,737,202,43,106,23,429,167,1579,1174,540,634,405,63,16,326,0.35292928,9253.97836,-542,-132,2.77256989, ,, ,,9839064.524,17648.90408,6951.108356,1528187.122
193,1,Perkins Homes,1649,26,1584,12,0,0,5,22,16,645,1004,200,305,94,98,194,265,151,279,63,411,32,15,24,10,355,282,636,614,3,611,22,16,0,6,0.03706349,44491.22102,95,-44,2.68566989, ,, ,,1033266.713,4083.653774,1609.110945,160470.0487
194,3,Perring Loch,3014,116,2839,6,9,0,9,35,28,1327,1687,178,236,113,122,308,303,339,921,494,797,411,89,48,15,338,120,1164,1124,1005,119,40,4,8,28,0.21869692,13781.62936,-108,32,2.68148994, ,, ,,6096896.04,10666.45773,4204.804153,948597.8852
195,1,Pimlico Good Neighbors,1102,30,1048,0,3,0,12,9,12,517,585,60,82,46,42,118,90,117,310,237,248,87,21,28,12,133,51,506,449,233,216,57,11,5,41,0.29570385,3726.701497,-67,-37,2.41870999, ,, ,,8243717.382,11944.1274,4707.417446,1282634.789
