CrimeDateTime,date,year,month,day,crimecode,description,Latitude,Longitude,Latitude_rad,Longitude_rad,Neighborhood,IsBlack,IsWhite
2011-01-20 17:00:00,2011-01-20,2011,1,20,4C,AGG. ASSAULT,39.3314821897945,-76.6686340626349,0.6864638639014233,-1.3381200973996554,EAST ARLINGTON,True,False
2011-01-20 22:00:00,2011-01-20,2011,1,20,4B,AGG. ASSAULT,39.3593587598874,-76.5904194771512,0.6869504018337074,-1.3367549953598823,WOODBOURNE HEIGHTS,True,False
2011-01-20 23:00:00,2011-01-20,2011,1,20,4B,AGG. ASSAULT,39.3248983573662,-76.5707588130356,0.6863489543481499,-1.3364118520379364,BELAIR-EDISON,True,False
2011-01-21 18:30:00,2011-01-21,2011,1,21,4D,AGG. ASSAULT,39.2910908793566,-76.6494537600867,0.6857589025450869,-1.3377853379686606,PENROSE/FAYETTE STREET OUTREACH,True,False
2011-01-21 18:37:00,2011-01-21,2011,1,21,4B,AGG. ASSAULT,39.2444162662235,-76.6212557323025,0.6849442768688196,-1.3372931895412576,CHERRY HILL,True,False
2011-01-22 02:20:00,2011-01-22,2011,1,22,4C,AGG. ASSAULT,39.3387805898162,-76.571419786192,0.6865912450119296,-1.3364233881957828,BEVERLY HILLS,False,True
2011-01-22 02:43:00,2011-01-22,2011,1,22,4C,AGG. ASSAULT,39.294542512049,-76.5755065184257,0.6858191449001386,-1.3364947151289084,PATTERSON PARK NEIGHBORHOOD,False,True
2011-01-22 05:30:00,2011-01-22,2011,1,22,4A,AGG. ASSAULT,39.306592431793,-76.6513442000331,0.6860294556742725,-1.3378183323700366,EASTERWOOD,True,False
2011-01-22 07:55:00,2011-01-22,2011,1,22,4D,AGG. ASSAULT,39.2366288225754,-76.6111413119031,0.6848083603368467,-1.337116659603357,BROOKLYN,False,True
2011-01-22 22:58:00,2011-01-22,2011,1,22,4A,AGG. ASSAULT,39.3249133117747,-76.572179402238,0.6863492153518159,-1.3364366459968366,BELAIR-EDISON,True,False
2011-01-22 22:58:00,2011-01-22,2011,1,22,4A,AGG. ASSAULT,39.3249133117747,-76.572179402238,0.6863492153518159,-1.3364366459968366,BELAIR-EDISON,True,False
2011-01-22 22:58:00,2011-01-22,2011,1,22,4A,AGG. ASSAULT,39.3249133117747,-76.572179402238,0.6863492153518159,-1.3364366459968366,BELAIR-EDISON,True,False
2011-01-23 00:40:00,2011-01-23,2011,1,23,4B,AGG. ASSAULT,39.304978795638,-76.6006682888111,0.6860012924104385,-1.3369338708677645,OLIVER,True,False
2011-01-23 02:30:00,2011-01-23,2011,1,23,4D,AGG. ASSAULT,39.2942447939663,-76.6219992738266,0.6858139487393528,-1.3373061667889783,DOWNTOWN,False,True
2011-01-23 15:00:00,2011-01-23,2011,1,23,4D,AGG. ASSAULT,39.3100624317044,-76.646630899838,0.6860900185977704,-1.3377360697629972,MONDAWMIN,True,False
2011-01-23 19:36:00,2011-01-23,2011,1,23,4D,AGG. ASSAULT,39.3279930062284,-76.6326711752996,0.6864029661599883,-1.3374924266071309,HAMPDEN,False,True
